iter	Passed	Remaining
0	2	282
1	5	281
2	8	267
3	10	248
4	12	244
5	15	245
6	18	242
7	20	239
8	23	235
9	25	233
10	28	229
11	30	226
12	33	222
13	35	219
14	38	216
15	40	213
16	42	208
17	45	205
18	47	202
19	49	199
20	52	195
21	54	192
22	56	189
23	59	187
24	61	184
25	63	180
26	65	178
27	68	175
28	70	173
29	73	170
30	75	168
31	77	165
32	80	162
33	82	160
34	84	157
35	87	155
36	89	152
37	91	149
38	94	147
39	96	144
40	98	141
41	99	137
42	102	135
43	104	132
44	106	130
45	108	127
46	111	125
47	113	123
48	118	123
49	121	121
50	123	118
51	125	116
52	128	113
53	130	111
54	131	107
55	133	105
56	135	102
57	138	100
58	140	97
59	142	95
60	145	92
61	147	90
62	150	88
63	152	85
64	154	83
65	157	80
66	159	78
67	161	76
68	163	73
69	166	71
70	168	68
71	171	66
72	173	64
73	175	61
74	178	59
75	180	57
76	183	54
77	185	52
78	187	49
79	190	47
80	192	45
81	195	42
82	197	40
83	200	38
84	202	35
85	204	33
86	206	30
87	209	28
88	212	26
89	214	23
90	216	21
91	218	19
92	221	16
93	224	14
94	226	11
95	228	9
96	230	7
97	233	4
98	235	2
99	238	0
